id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5506.0,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,Roxbury,42.32844,-71.09581,Entire home/apt,139.0,3,123,4/24/2024,0.66,10,112,5,STR-490093
6695.0,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,Roxbury,42.32802,-71.09387,Entire home/apt,179.0,3,128,4/16/2024,0.71,10,79,4,STR-491702
40601.0,Private room & bath - Jamaica Plain,174986,Robert,Jamaica Plain,42.31347,-71.11082,Private room,100.0,29,99,5/5/2024,0.59,1,113,5,STR-551851
45987.0,Garden Studio,205107,Atef,Charlestown,42.37424,-71.06081,Entire home/apt,100.0,29,139,6/18/2024,0.83,1,55,3,STR-409822
47521.0,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,Dorchester,42.29871,-71.05954,Private room,100.0,1,333,11/5/2023,1.98,8,348,1,STR-492781
60029.0,Room in geographical heart of Hub,255183,Michelle,Roxbury,42.32546,-71.08894,Private room,80.0,29,145,2/29/2024,0.88,5,139,2,STR-415714
69369.0,Entire two-bedroom apartment near Longwood,255183,Michelle,Roxbury,42.32546,-71.08894,Entire home/apt,100.0,29,118,11/15/2019,0.74,5,92,0,STR-415714
77681.0,Waterfall Room: Bunker Hill B&B,416912,Christiane,Charlestown,42.37865,-71.06373,Private room,140.0,29,71,11/4/2023,0.46,1,294,6,STR-415924
77691.0,Private room in Victorian house,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,100.0,1,300,1/12/2024,1.85,8,347,1,STR-492781
163941.0,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,Roxbury,42.32806,-71.09423,Entire home/apt,275.0,3,275,5/27/2024,1.76,10,79,14,STR-446659
179244.0,Beautiful room with private bath/#2,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,70.0,1,110,1/1/2024,0.71,8,73,1,STR-457920
179245.0,Private Room & private bath in Townhouse,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,70.0,1,65,12/29/2023,0.42,8,0,1,Exempt: This listing is a hotel or motel
197972.0,Serene Studio in a Perfect Location,965697,Chris & Kristina,Jamaica Plain,42.31533,-71.11025,Entire home/apt,142.0,3,502,6/18/2024,3.25,2,64,41,STR-409453
205894.0,Large bedroom in Victorian House/Room D,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,101.0,1,217,5/19/2024,1.39,8,158,2,STR-457920
210097.0,Treetop Haven in the City,1035747,Maria Elena,Jamaica Plain,42.31685,-71.10867,Entire home/apt,141.0,3,299,6/5/2024,1.92,1,124,28,STR-545902
220676.0,Private room off the Freedom Trail.,1144302,Howard,North End,42.36614,-71.05226,Private room,195.0,3,330,6/14/2024,2.13,1,21,22,STR-454055
257588.0,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,South Boston,42.33255,-71.04125,Entire home/apt,314.0,2,479,6/14/2024,3.3,1,187,39,STR-411297
297994.0,Your cozy stay in South Boston,1536237,Albert,South Boston,42.33583,-71.05271,Entire home/apt,190.0,3,55,5/30/2024,0.37,1,29,14,STR-564151
377474.0,Cozy Room in Beautiful Victorian House /E,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,50.0,1,81,6/16/2024,0.56,8,299,35,STR-492781
447826.0,"Sweet Little House in JP, Boston",2053557,Hilary,Jamaica Plain,42.31658,-71.11012,Private room,75.0,5,402,6/11/2024,2.75,1,171,27,STR-459697
611081.0,Houseboat in Boston Harbor,3029783,Deborah,Charlestown,42.37579,-71.04981,Entire home/apt,221.0,2,112,6/6/2024,1.18,3,278,33,STR-416892
619142.0,Getaway in Historic Charlestown,501427,Joe,Charlestown,42.377338,-71.063095,Entire home/apt,175.0,3,184,6/15/2024,1.27,1,3,15,STR-529113
708802.0,Boston / Charlestown Apartment,3648427,Gerard  And Marie,Charlestown,42.3782692,-71.06332397,Entire home/apt,218.0,2,458,6/17/2024,3.22,1,190,37,STR-401905
750438.0,Private room/bath 7 min to subway verdant/peaceful,3945438,Lisa,Jamaica Plain,42.30733,-71.11129,Private room,93.0,2,278,6/17/2024,2.07,1,321,27,STR-523680
753446.0,6 miles away from downtown Boston!,3962517,Sami,Roslindale,42.28573,-71.12334,Private room,55.0,91,142,7/27/2019,1.33,1,365,0,STR-397984
801680.0,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,8229,Terry,Roxbury,42.32795,-71.09412,Entire home/apt,166.0,3,70,5/16/2024,0.5,10,87,5,STR446651
820073.0,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,Downtown,42.3558,-71.06104,Entire home/apt,541.0,2,169,6/14/2024,1.24,2,279,65,STR-411359
849408.0,"Perfect & Practical Boston Rental (1,500+ sqft)",4434391,Damon,Roslindale,42.29038,-71.13919,Entire home/apt,339.0,4,100,6/1/2024,0.78,2,72,18,STR-456742
891661.0,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,North End,42.3665,-71.05296,Entire home/apt,80.0,29,614,10/28/2023,4.48,1,100,27,STR-400168
894539.0,Private room in house,4762495,Jennifer,Roslindale,42.29017,-71.13169,Private room,100.0,29,63,8/30/2022,0.48,2,233,0,STR-408484
962610.0,Convenient Boston Hotel Alternative,4434391,Damon,West Roxbury,42.29175,-71.14096,Entire home/apt,135.0,6,97,4/23/2024,0.73,2,48,1,STR-523304
1071235.0,Cozy JP Studio-Great Location!,965697,Chris & Kristina,Jamaica Plain,42.31653,-71.11049,Entire home/apt,136.0,3,352,6/18/2024,2.6,2,83,25,STR-409453
1090545.0,ExclusiveBackBayBostonCtr-EntireFloorBrick townhse,1984434,Irene,Back Bay,42.34475,-71.08204,Private room,214.0,29,117,12/6/2019,0.87,1,364,0,STR-398748
